Order ID,Date,Customer ID,Product,Quantity,Unit Price,Shipping Address,Payment Method,Order Status,Tracking Number,Items In Cart,Coupon Code,Referral Source,Revenue,Year,Month Name,,
Ord200009,11/21/2023 0:00,C31946,Desk,4,$509.38,102 Main St,Credit Card,Shipped,Trk33478363,6,Save10,Google,"$2,037.52",2023,November,,
Ord200031,6/30/2023 0:00,C26445,Chair,3,$500.08,996 Main St,Debit Card,Returned,Trk31229981,6,Unknown,Facebook,"$1,500.24",2023,June,,
Ord200050,7/31/2023 0:00,C96494,Tablet,1,$179.22,446 Main St,Online,Cancelled,Trk14675049,6,Freeship,Instagram,$179.22,2023,July,,
Ord200057,1/22/2023 0:00,C88036,Printer,5,$314.27,842 Main St,Cash,Returned,Trk52470128,6,Save10,Instagram,"$1,571.35",2023,January,,
Ord200058,1/15/2023 0:00,C60190,Phone,4,$474.69,202 Main St,Gift Card,Cancelled,Trk70857868,6,Save10,Google,"$1,898.76",2023,January,,
Ord200065,12/30/2023 0:00,C97735,Monitor,5,$81.70,385 Main St,Credit Card,Delivered,Trk13743703,6,Unknown,Instagram,$408.50,2023,December,,
Ord200080,6/27/2023 0:00,C29041,Phone,3,$589.56,591 Main St,Online,Returned,Trk28840655,6,Unknown,Facebook,"$1,768.68",2023,June,,
Ord200081,6/8/2023 0:00,C29314,Monitor,2,$394.30,496 Main St,Cash,Shipped,Trk59876213,6,Freeship,Email,$788.60,2023,June,,
Ord200083,8/22/2023 0:00,C15681,Laptop,4,$540.41,989 Main St,Credit Card,Cancelled,Trk75112172,6,Unknown,Referral,"$2,161.64",2023,August,,
Ord200091,3/15/2023 0:00,C98216,Laptop,5,$492.75,196 Main St,Cash,Shipped,Trk40986666,6,Winter15,Referral,"$2,463.75",2023,March,,
Ord200094,2/11/2023 0:00,C79821,Chair,1,$531.18,781 Main St,Gift Card,Returned,Trk12780193,6,Winter15,Instagram,$531.18,2023,February,,
Ord200100,2/17/2023 0:00,C74866,Phone,3,$664.79,743 Main St,Online,Delivered,Trk53783265,6,Unknown,Facebook,"$1,994.37",2023,February,,
Ord200101,11/25/2023 0:00,C15283,Printer,1,$381.02,152 Main St,Cash,Shipped,Trk19286291,6,Unknown,Google,$381.02,2023,November,,
Ord200116,3/19/2023 0:00,C47761,Printer,4,$291.35,109 Main St,Credit Card,Cancelled,Trk66669207,6,Winter15,Facebook,"$1,165.40",2023,March,,
Ord200132,3/28/2023 0:00,C96257,Tablet,4,$450.75,583 Main St,Credit Card,Shipped,Trk13137948,6,Winter15,Email,"$1,803.00",2023,March,,
Ord200155,2/27/2023 0:00,C62740,Phone,1,$424.40,446 Main St,Online,Shipped,Trk20706408,6,Winter15,Referral,$424.40,2023,February,,
Ord200187,2/8/2023 0:00,C21227,Chair,1,$590.87,689 Main St,Gift Card,Returned,Trk79129657,6,Freeship,Referral,$590.87,2023,February,,
Ord200193,7/21/2023 0:00,C11644,Printer,1,$46.66,429 Main St,Cash,Cancelled,Trk81320339,6,Unknown,Google,$46.66,2023,July,,
Ord200212,6/20/2023 0:00,C53215,Monitor,1,$265.38,367 Main St,Credit Card,Cancelled,Trk34751835,6,Winter15,Email,$265.38,2023,June,,
Ord200213,4/20/2023 0:00,C71122,Laptop,1,$634.40,317 Main St,Cash,Cancelled,Trk54757882,6,Save10,Email,$634.40,2023,April,,
Ord200218,4/28/2023 0:00,C11665,Tablet,3,$112.46,882 Main St,Gift Card,Shipped,Trk10993930,6,Save10,Instagram,$337.38,2023,April,,
Ord200220,7/18/2023 0:00,C79506,Laptop,2,$373.17,497 Main St,Credit Card,Pending,Trk95188748,6,Save10,Referral,$746.34,2023,July,,
Ord200230,12/16/2023 0:00,C94595,Desk,4,$61.91,948 Main St,Gift Card,Delivered,Trk24497305,6,Winter15,Email,$247.64,2023,December,,
Ord200241,5/16/2023 0:00,C20817,Chair,5,$615.67,407 Main St,Online,Pending,Trk44164590,6,Save10,Email,"$3,078.35",2023,May,,
Ord200248,7/2/2023 0:00,C97187,Laptop,1,$670.54,471 Main St,Cash,Shipped,Trk62283713,6,Freeship,Referral,$670.54,2023,July,,
Ord200271,3/28/2023 0:00,C59572,Monitor,1,$542.07,791 Main St,Cash,Shipped,Trk16792991,6,Winter15,Referral,$542.07,2023,March,,
Ord200272,9/19/2023 0:00,C29758,Chair,2,$399.32,119 Main St,Online,Pending,Trk12990043,6,Winter15,Instagram,$798.64,2023,September,,
Ord200280,3/27/2023 0:00,C55388,Tablet,3,$404.62,740 Main St,Gift Card,Delivered,Trk75741001,6,Freeship,Instagram,"$1,213.86",2023,March,,
Ord200284,2/16/2023 0:00,C27203,Laptop,5,$208.17,516 Main St,Credit Card,Returned,Trk22023906,6,Save10,Facebook,"$1,040.85",2023,February,,
Ord200298,12/19/2023 0:00,C19402,Printer,4,$301.17,267 Main St,Online,Cancelled,Trk97825212,6,Unknown,Email,"$1,204.68",2023,December,,
Ord200319,12/2/2023 0:00,C53049,Laptop,2,$563.06,413 Main St,Cash,Returned,Trk48974907,6,Unknown,Instagram,"$1,126.12",2023,December,,
Ord200321,8/9/2023 0:00,C47086,Phone,4,$152.29,135 Main St,Debit Card,Cancelled,Trk44194358,6,Winter15,Google,$609.16,2023,August,,
Ord200350,6/3/2023 0:00,C13296,Chair,2,$54.41,495 Main St,Online,Shipped,Trk60127216,6,Unknown,Instagram,$108.82,2023,June,,
Ord200368,5/1/2023 0:00,C85322,Monitor,3,$271.02,403 Main St,Credit Card,Cancelled,Trk89728869,6,Unknown,Google,$813.06,2023,May,,
Ord200376,8/24/2023 0:00,C64549,Monitor,5,$201.22,341 Main St,Debit Card,Pending,Trk20788231,6,Freeship,Facebook,"$1,006.10",2023,August,,
Ord200385,10/31/2023 0:00,C56851,Chair,5,$191.63,752 Main St,Gift Card,Delivered,Trk65290904,6,Freeship,Facebook,$958.15,2023,October,,
Ord200404,3/9/2023 0:00,C45482,Monitor,2,$99.10,440 Main St,Cash,Delivered,Trk54571699,6,Unknown,Instagram,$198.20,2023,March,,
Ord200413,10/8/2023 0:00,C13923,Tablet,1,$118.80,123 Main St,Online,Delivered,Trk87598790,6,Save10,Email,$118.80,2023,October,,
Ord200422,6/5/2023 0:00,C76140,Phone,4,$206.60,914 Main St,Gift Card,Returned,Trk25861469,6,Winter15,Referral,$826.40,2023,June,,
Ord200430,6/7/2023 0:00,C87448,Phone,1,$450.07,433 Main St,Gift Card,Shipped,Trk44134016,6,Freeship,Google,$450.07,2023,June,,
Ord200432,9/4/2023 0:00,C58443,Tablet,2,$424.32,662 Main St,Credit Card,Returned,Trk77163738,6,Unknown,Referral,$848.64,2023,September,,
Ord200434,10/22/2023 0:00,C73893,Printer,5,$327.68,384 Main St,Credit Card,Returned,Trk85939879,6,Unknown,Facebook,"$1,638.40",2023,October,,
Ord200441,12/13/2023 0:00,C52915,Printer,2,$328.54,475 Main St,Gift Card,Returned,Trk79466982,6,Freeship,Email,$657.08,2023,December,,
Ord200446,10/18/2023 0:00,C89592,Laptop,5,$509.58,262 Main St,Online,Delivered,Trk49442402,6,Freeship,Instagram,"$2,547.90",2023,October,,
Ord200451,4/1/2023 0:00,C14837,Monitor,1,$183.18,647 Main St,Debit Card,Cancelled,Trk17501136,6,Save10,Email,$183.18,2023,April,,
Ord200464,3/14/2023 0:00,C39176,Tablet,4,$434.42,739 Main St,Online,Cancelled,Trk71418686,6,Freeship,Google,"$1,737.68",2023,March,,
Ord200474,11/15/2023 0:00,C72293,Printer,3,$229.34,398 Main St,Credit Card,Shipped,Trk84378003,6,Save10,Referral,$688.02,2023,November,,
Ord200480,6/16/2023 0:00,C21147,Chair,1,$335.10,126 Main St,Debit Card,Pending,Trk93171043,6,Freeship,Referral,$335.10,2023,June,,
Ord200483,1/18/2023 0:00,C66462,Phone,5,$347.92,982 Main St,Cash,Pending,Trk52743700,6,Winter15,Google,"$1,739.60",2023,January,,
Ord200485,8/1/2023 0:00,C46651,Chair,3,$404.79,764 Main St,Cash,Shipped,Trk67679195,6,Save10,Instagram,"$1,214.37",2023,August,,
